,,,,,,,,,,,,,Individual Badge Doses (in microSV) for personnel type,,,,,,,,,Surrogate for Patient Dose
Procedure date,Patient,MRN,Weight (kg),D.O.B.,Age (days),Age (months) - days/30,Species,Breed,"Sex (FI, FS, MI, MN)","Procedure  type (BPV, PDA PMI, PV Stent)",Procedure time (min),RADPAD Drape Used? Y/N,Faculty,Tech 1,Resident 1,Resident 2,TEE,Anesthesia,Patient,Total fluoro time (sec),Total fluoro time (min),DAP Total (Gycm2)
4/22/2022,Bandit,472757,35.9,12/20/2017,1584,52.80,Canine,PMI,72,PMI,72,N,3.58,0,17,n/a,n/a,0.33,n/a,291,4.85,3.38
4/27/2022,Paislee Mae,271742,2.15,12/29/2021,119,3.97,Canine,BPV,78,BPV,78,N,3.61,0,6.91,0.02,n/a,0.59,NB,563,9.38,1.06
5/4/2022,Ella ,272000,2.39,1/5/2022,119,3.97,Canine,PDA,115,PDA,115,N,0.69,0.15,10.57,0.18,n/a,0.97,n/a,414,6.90,1.13
5/6/2022,Princess,473292,24.8,5/4/2011,4020,134.00,Canine,PMI,68,PMI,68,N,2.33,NB,13.98,n/a,n/a,0.03,n/a,15,0.25,0.39
5/25/2022,Daisy Joy,267024,25,3/12/2018,1535,51.17,Canine,PDA,65,PDA,65,N,1,0.06,15.46,6.2,2.46,20.04,n/a,223,3.72,6.05
6/15/2022,Snowball,472796,11.2,4/21/2018,1516,50.53,Canine,BPV,126,BPV,126,N,0.08,0.07,4.81,43.29,0.18,40.73,NB,522,8.70,11.48
6/24/2022,Cleopatra Rose,258677,6.4,4/20/2012,3717,123.90,Canine,PMI,150,PMI,150,N,3.66,NB,30.16,n/a,n/a,2.08,n/a,277,4.62,1.96
6/28/2022,Tillie,267911,15,6/22/2021,371,12.37,Canine,PV stent,130,PV stent,130,N,4.64,NB,114.04,7.14,0.54,8.14,NB,509,8.48,7.96
6/29/2022,Benelli,474783,24.2,11/24/2021,217,7.23,Canine,BPV,59,BPV,59,N,1.25,0.03,32.08,8.27,n/a,11.64,NB,783,13.05,15.53
7/6/2022,Gotti,474406,14.1,2/22/2022,134,4.47,Canine,BPV,105,BPV,105,N,16.18,0.05,143.51,4.1,n/a,19.15,NB,1590,26.50,16.34
7/7/2022,Arthur,474405,20,4/5/2021,458,15.27,Canine,BPV,55,BPV,55,N,2.53,0.03,19.51,7.22,n/a,2.23,NB,537,8.95,11.58
7/13/2022,Brice,474688,8.2,11/15/2021,240,8.00,Canine,BPV,60,BPV,60,N,1.02,1.4,8.91,0.3,n/a,3.64,NB,499,8.32,3.39
7/20/2022,Bella,265219,3.5,7/26/2021,359,11.97,Canine,BPV,105,BPV,105,N,14.16,0.03,14.08,0.51,n/a,2.63,NB,1518,25.30,3.49
7/20/2022,Charlie,475018,16.4,1/27/2022,174,5.80,Canine,BPV,40,BPV,40,N,0.23,NB,3.94,0.72,n/a,4.48,NB,307,5.12,3.15
7/26/2022,Fred,253645,49.6,1/1/2013,3493,116.43,Canine,PMI,90,PMI,90,N,44.42,0.56,52.81,1.72,6.32,9.22,n/a,581,9.68,16.23
7/27/2022,Karma,474297,38.3,8/26/2021,335,11.17,Canine,BPV,86,BPV,86,N,0.02,0.05,42.98,1.94,n/a,41.6,NB,828,13.80,18.01
7/27/2022,Ruby,475256,21.5,12/20/2021,219,7.30,Canine,BPV,45,BPV,45,N,0.03,0.01,30.29,0.97,n/a,6.37,NB,633,10.55,8.02
8/3/2022,Daisy  ,476580,16,1/22/2022,193,6.43,Canine,PDA,120,PDA,120,N,0.15,0.03,2.61,0.13,1.43,4.89,n/a,171,2.85,2.22
8/4/2022,Luna,476648,12.6,1/29/2022,187,6.23,Canine,PDA,56,PDA,56,N,0.08,0.02,17.3,1.59,3.82,8.4,n/a,207,3.45,5.04
