,,,,,,,,,,,,,Individual Badge Doses (in microSV) for personnel type,,,,,,,,,Surrogate for Patient Dose
Procedure date,Patient,MRN,Weight (kg),D.O.B.,Age (days),Age (months) - days/30,Species,Breed,"Sex (FI, FS, MI, MN)","Procedure  type (BPV, PDA PMI, PV Stent)",Procedure time (min),RADPAD Drape Used? Y/N,Faculty,Tech 1,Resident 1,Resident 2,TEE,Anesthesia,Patient,Total fluoro time (sec),Total fluoro time (min),DAP Total (Gycm2)
9/13/2023,Mazi,490061,23,6/25/2021,810,27.00,Canine,BPV,95,BPV,95,N,11.98,0.57,50.84,6.58,2.12,0.87,NB,"1,094.00",18.23,33.38
9/13/2023,Carolina Crumpt,491819,7.6,5/9/2023,127,4.23,Canine,PDA,60,PDA,60,N,0.1,0,2.3,1,2.36,0.1,2.02,273,4.55,1.18
9/20/2023,Luna,492550,4.5,4/26/2015,3069,102.30,Canine,PDA,145,PDA,145,N,0.21,0,3.38,0.79,2.23,0.03,2.23,234,3.90,0.70
9/27/2023,Apple ,491345,14.5,11/12/2022,319,10.63,Canine,BPV,48,BPV,48,N,2.79,0.13,6.47,2.23,0.02,0.05,123.29,557,9.28,5.00
9/27/2023,Rosie,491035,5.3,8/4/2021,784,26.13,Canine,PDA,95,PDA,95,N,2.71,0.05,20.74,0.08,4.84,0.84,67.53,627,10.45,2.36
10/4/2023,Sushi,487155,11.2,6/10/2020,1211,40.37,Canine,BPV,137,BPV,137,N,21.45,0.07,78.72,0.33,18.74,0.03,NB,849,14.15,16.50
10/4/2023,Max,490135,7.1,6/5/2022,486,16.20,Canine,BPV,102,BPV,102,N,0.95,0.03,28.06,9.22,n/a,0.05,NB,817,13.62,5.65
10/18/2023,Gus,491070,27.1,7/14/2022,461,15.37,Canine,BPV,54,BPV,54,N,2.03,1.05,28.47,6.34,4,0.31,35.38,824,13.73,13.25
10/18/2023,Hamish,491538,11.4,11/17/2022,335,11.17,Canine,BPV,105,BPV,105,N,0.41,0.36,52.53,12.65,1.66,0.1,459.26,803,13.38,12.13
10/25/2023,Diesel,492393,29.7,4/25/2018,2009,66.97,Canine,BPV,90,BPV,90,N,32.81,0.13,78.23,22.3,3.1,0,NB ,942,15.70,35.28
10/25/2023,Stella,491543,8,5/7/2023,171,5.70,Canine,BPV,65,BPV,65,N,16.08,0.1,42.32,7.17,n/a,0.03,100.43,716,11.93,6.71
11/1/2023,Sullie,492622,10.3,9/23/2022,404,13.47,Canine,BPV,70,BPV,70,N,7.91,0.02,25.78,1.35,n/a,0,21.48,803,13.38,6.54
11/8/2023,Teddy,491833,8.6,8/11/2022,454,15.13,Canine,Mixed,MN,BPV,50,Y,0.03,0,9.34,0.47,3.56,0,44.59,824,13.73,4.31
11/8/2023,Bodie,493669,9.7,2/13/2023,268,8.93,Canine,Frenchie,MI,PV stent,110,Y,2.05,0.03,11.01,38.29,5.09,0.28,211.36,"1,165.00",19.42,12.01
11/10/2023,Odin,494764,20,1/1/2022,678,22.60,Canine,Coonhound,MN,PMI,131,N,7.29,0,1.82,0.84,n/a,0,0.03,281,4.68,1.72
11/13/2023,Chester,494768,10,11/10/2010,4751,158.37,Canine,Bichon Frise,MN,PMI,139,Y,1.46,0,11.39,1.92,n/a,0,0,154,2.57,1.20
11/15/2023,Eboni,492606,7.7,2/24/2023,264,8.80,Canine,"Schnauzer, Mini",FI,BPV,75,Y,1.44,0.26,14,0.02,0,0.05,0.25,864,14.40,3.50
11/15/2023,Taco,494699,12.8,10/2/2022,409,13.63,Canine,Mixed,FI,PDA,120,Y,0.05,0.2,2.54,0.13,0.95,0.05,0.09,219,3.65,2.22
11/22/2023,Banks,494588,5.4,6/25/2023,150,5.00,Canine,Cavalier King Charles,MI,BPV,33,Y,0.15,0,0.13,0.01,n/a,0.15,0.09,351,5.85,1.35
11/29/2023,Penelope,492418,7.08,4/7/2023,236,7.87,Canine,Frenchie,FI,BPV,90,Y,0.77,0,10.7,0.49,n/a,0.18,0.27,506,8.43,3.98
11/29/2023,Raider,488669,27,10/1/2020,1154,38.47,Canine,Dutch Shephard,MI,PDA,90,N,0.74,0.51,3.17,0.51,0.97,1.13,0.29,220,3.67,5.31
12/6/2023,Lailah,494451,4.49,1/31/2023,309,10.30,Canine,"Schnauzer, Mini",FI,BPV,50,Y,0,0.05,2,0,n/a,0.05,25.29,556,9.27,1.01
12/13/2023,Mulligan,493909,16.2,8/27/2022,473,15.77,Canine,LabX,MN,BPV,155,Y,0.56,0,0.43,0.02,0,0,2.22,721,12.02,2.10
12/20/2023,Gunner,494231,25.8,6/24/2022,544,18.13,Canine,Mixed,MI,BPV,60,Y,4.23,0,21.89,4.79,2.82,0,505.6,532,8.87,11.38
12/27/2023,Hazel Mae,496209,4.8,9/6/2023,112,3.73,Canine,Frenchie,FI,BPV,79,Y,2.44,0,10.8,0.61,n/a,0.05,0.3,634,10.57,2.91
12/27/2023,Viva,495675,8.1,9/2/2023,116,3.87,Canine,mixed,FS,BPV,90,Y,0.38,0,17.92,1.46,4.5,0,0.11,870,14.50,4.93
1/3/2024,Welhelmina,494556,5,9/1/2023,124,4.13,Canine,Fox Terrier,FI,PDA,135,Y,0,0,1.95,0,1.9,0,0.09,190,3.17,0.68
1/3/2024,Sally Ann,264535,28,3/3/2021,1036,34.53,Canine,mixed,FS,PDA,210,Y,5.45,0.18,31.38,0,8.98,0.02,0.42,642,10.70,12.90
1/10/2024,Blue,495166,2.4,7/21/2023,173,5.77,Canine,Chihuahua,FI,BPV,77,Y,0.05,0,3.99,0.1,n/a,0,0.14,"1,096.00",18.27,1.26
1/10/2024,Tali #103,496470,4.55,12/25/2020,1111,37.03,Canine,Chihuahua,FI,PDA,80,Y,0,0,4.28,0.16,0,0.08,0.01,151,2.52,0.36
1/17/2024,Dolce,487814,1.46,2/11/2023,340,11.33,Canine,Maltese,MI,BPV,67,Y,0.05,0,0.05,0,0,0.54,0.01,403,6.72,0.55
1/17/2024,Gertie,496230,8.38,6/5/2023,226,7.53,Canine,Frenchie,FI,BPV,194,Y,2.79,0.03,38.35,0.49,0.33,0.02,0.08,984,16.40,8.61
1/24/2024,Frank,244957,12.2,8/27/2019,1611,53.70,Canine,Frenchie,MN,BPV,105,Y,1.15,0.03,5.99,11,0,0,0.01,751,12.52,7.41
1/24/2024,Lola,497004,20.2,2/14/2023,344,11.47,Canine,Goldendoodle,FI,PDA,140,Y,0.18,0.1,5.07,1.36,8.24,0.57,0.19,345,5.75,7.32
1/24/2024,Lakota,494990,21.7,4/3/2023,296,9.87,Canine,English Bulldog,FI,PV stent,61,Y,3.89,0.38,135.56,62.83,40.24,0.05,0.12,768,12.80,33.49
2/1/2024,Kylo,497093,7.2,5/2/2023,275,9.17,Canine,Frenchie,MI,BPV,41,Y,0.41,0,0.35,1.08,n/a,0.02,193.59,408,6.80,2.93
2/7/2024,Theo,496125,3.85,9/9/2022,516,17.20,Canine,Chihuahua,MI,BPV,67,Y,0.15,0,0.49,0.82,n/a,0,96.61,682,11.37,2.32
2/12/2024,Luna,497972,29.5,4/19/2014,3586,119.53,Canine,Boxer,FS,PMI,90,Y,1.92,0,8.75,0.9,0.84,0,9.66,366,6.10,3.87
2/14/2024,Pistachio,494957,11.5,12/20/2021,786,26.20,Canine,Frenchie,MN,BPV,115,Y,0.07,0,4.53,6.88,4.48,0.34,15.51,755,12.58,7.33
2/14/2024,Cece,497553,8.2,10/20/2023,117,3.90,Canine,Australian Cattle Dog,FI,PDA,75,Y,0.03,0.08,1.82,0.41,0.26,0.51,20.25,266,4.43,1.50
2/15/2024,June Bug,495584,7.92,9/1/2023,167,5.57,Canine,Boykin Spaniel,FI,PDA,90,Y,0.15,0,7.53,0.51,2.38,0.1,29.62,176,2.93,1.20
2/15/2024,Willie,497960,11.3,8/26/2014,3460,115.33,Canine,Mixed Breed Dog,FS,PMI,85,Y,0.15,0.2,3.37,0.49,0.33,0.26,191.2,267,4.45,2.15
2/21/2024,Alice,494622,18.7,9/14/2023,160,5.33,Canine,Boxer,FI,BPV,40,Y,0,0,24.4,2.61,0.7,0,108.27,447,7.45,7.95
2/21/2024,Kara,496116,9.2,10/11/2023,133,4.43,Canine,Boykin Spaniel,FI,BPV,68,Y,0.08,0,7.73,0.56,n/a,0,53.88,797,13.28,3.44
2/28/2024,Mabel,497247,6.4,11/3/2023,117,3.90,Canine,Frenchie,FI,BPV,60,Y,0.82,0,3.18,0.36,n /a,0.28,0,805,13.42,2.92
2/28/2024,Lemon,498440,10.1,12/7/2023,83,2.77,Canine,Rhodesian Ridgeback,MI,BPV,47,Y,0.54,0,6.12,0.03,n/a,0.02,39.1,768,12.80,4.00
3/6/2024,Fiji,498057,16.8,8/11/2023,208,6.93,Canine,English Bulldog,FI,PV stent,226,Y,11.7,0.33,47.66,8.75,n/a,0.16,133.35,"2,191.00",36.52,38.26
3/13/2024,Lexi,499130,7.3,12/10/2020,1189,39.63,Canine,Bichon x,FS,PMI,90,Y,0,0,0.23,0.05,n/a,0,69.55,188,3.13,0.27
3/20/2024,Macy,494557,35,2/20/2020,1490,49.67,Canine,German Shepherd,F,PDA,90,Y,0,0.03,2.87,0.18,1.4,0,28.26,204,3.40,3.38
3/20/2024,Boone,498393,6.3,12/25/2023,86,2.87,Canine,Goldendoodle,M,PDA,188,Y,0,0,1.33,0.05,0.77,0,13.06,300,5.00,0.88
3/27/2024,Samson,499181,10.1,7/17/2022,619,20.63,Canine,Frenchie,M,BPV,75,Y,0,0,3.09,0.18,0,0,0.23,"1,149.00",19.15,5.04
3/31/2024,Bailey,499860,53,3/30/2016,2923,97.43,Canine,Bernese Mountain Dog,MN,PMI,120,Y,8.6,0,116.92,0,0,0,1.04,527,8.78,26.48
4/9/2024,Jasper,497306,4.7,3/14/2023,392,13.07,Canine,Shih Tzu,MI,PDA,102,Y,0.03,0,2.15,0.28,n/a,0.06,0.49,325,5.42,1.01
4/10/2024,Miss Olive,489755,8.6,3/21/2023,386,12.87,Canine,Frenchie,FS,PV Stent,84,Y,0.76,0.05,2.89,1.3,n/a,0.05,828.85,"1,233.00",20.55,7.65
4/10/2024,Stella,499908,5.72,11/22/2023,140,4.67,Canine,Frenchie,FI,BPV,120,Y,0.82,0,6.85,0.49,n/a,0.02,89.26,454,7.57,3.25
4/10/2024,Annie,500239,13.5,4/10/2012,4383,146.10,Canine,American Staffordshire Terrier,FS,PMI,112.2,Y,0.54,0,19.87,0.97,n/a,0.44,9.89,282,4.70,3.19
4/17/2024,Speedy,500333,5.8,8/7/2023,254,8.47,Canine,Boston Terrier,F,PDA,115,Y,0.07,0,1.23,n/a,0,0,14.23,273,4.55,0.86
4/17/2024,Georgia,500009,25.3,11/16/2015,3075,102.50,Canine,German Shorthair Pointer,FS,PDA,102,Y,0.85,0.15,4.63,0.41,2.87,0.33,159.18,428,7.13,5.33
5/1/2024,Mia,486978,24.8,3/15/2020,1508,50.27,Canine,American Staffordshire Terrier,FS,BPV,75,Y,3.4,0.13,27.34,2.61,3.48,0.23,121.96,559,9.32,10.91
5/8/2024,Fudge,500621,10,12/19/2023,141,4.70,Canine,Beagle,MI,BPV,63,Y,0.54,0.08,1.51,0,0,0.1,166.94,439,7.32,2.23
5/8/2024,Oliver,501338,36.5,5/6/2020,1463,48.77,Canine,Lab,MN,PDA,70.8,Y,0.53,0.1,7.99,0.87,2.2,0.36,53.43,264,4.40,7.57
5/11/2024,Schatzie,501440,19,1/19/2014,3765,125.50,Canine,Mixed Breed Dog,FS,PMI,100.2,Y,0.39,0.85,0.61,0.13,n/a,0,9.73,153,2.55,1.72
5/24/2024,Nala,479994,7.35,4/21/2015,3321,110.70,Canine,,,PMI,61,Y,0.46,0,1.69,0.11,n/a,0.03,81,361,6.02,0.93
